Timestamp, CH1, CH2, CH3, CH4, CH5, CH6, CH7, CH8, CH9
10-3-2022 14:58:06, 2810, 2717, 2658, 2419, 2311, 2443, 2306, 2209, 2170
10-3-2022 14:58:27, 2086, 2155, 2287, 2170, 2145, 2292, 2218, 2145, 2077
10-3-2022 14:58:47, 2028, 2106, 2199, 2106, 2077, 2218, 2150, 2086, 2003
10-3-2022 14:59:07, 2077, 2174, 2282, 2184, 2145, 2297, 2223, 2150, 2028
10-3-2022 14:59:27, 2018, 2106, 2204, 2101, 2062, 2218, 2150, 2086, 1994
10-3-2022 14:59:46, 2052, 2155, 2258, 2160, 2121, 2272, 2199, 2130, 2013
10-3-2022 15:00:06, 2018, 2111, 2209, 2111, 2077, 2228, 2160, 2096, 1999
10-3-2022 15:00:27, 2062, 2160, 2262, 2165, 2121, 2272, 2199, 2126, 2008
10-3-2022 15:00:47, 2052, 2155, 2262, 2160, 2121, 2272, 2194, 2130, 2013
10-3-2022 15:01:07, 2038, 2135, 2233, 2126, 2082, 2233, 2150, 2082, 1959
10-3-2022 15:01:27, 2003, 2106, 2199, 2101, 2067, 2218, 2150, 2086, 1979
10-3-2022 15:01:47, 2028, 2126, 2218, 2111, 2067, 2214, 2135, 2067, 1950
10-3-2022 15:02:06, 1994, 2082, 2174, 2062, 2018, 2170, 2091, 2023, 1920
10-3-2022 15:02:26, 2013, 2121, 2223, 2126, 2086, 2223, 2155, 2096, 1994
10-3-2022 15:02:47, 1989, 2086, 2189, 2077, 2043, 2179, 2111, 2057, 1969
10-3-2022 15:03:07, 2043, 2145, 2248, 2140, 2096, 2223, 2150, 2082, 1969
10-3-2022 15:03:27, 2038, 2145, 2248, 2140, 2096, 2223, 2150, 2082, 1964
10-3-2022 15:03:47, 1974, 2072, 2170, 2062, 2028, 2160, 2096, 2043, 1950
10-3-2022 15:04:06, 2018, 2116, 2223, 2126, 2086, 2223, 2160, 2096, 1994
10-3-2022 15:04:27, 1959, 2052, 2150, 2043, 1999, 2135, 2072, 2013, 1920
10-3-2022 15:04:47, 1959, 2052, 2150, 2043, 1999, 2130, 2062, 1999, 1906
10-3-2022 15:05:07, 2018, 2121, 2223, 2121, 2077, 2214, 2145, 2082, 1979
10-3-2022 15:05:27, 1979, 2077, 2179, 2067, 2028, 2165, 2091, 2038, 1945
10-3-2022 15:05:47, 2003, 2111, 2218, 2106, 2067, 2199, 2126, 2057, 1935
10-3-2022 15:06:07, 1989, 2086, 2179, 2072, 2023, 2155, 2082, 2018, 1911
10-3-2022 15:06:26, 1955, 2052, 2155, 2047, 2003, 2140, 2072, 2013, 1920
10-3-2022 15:06:47, 1999, 2106, 2209, 2091, 2052, 2179, 2111, 2043, 1925
10-3-2022 15:07:07, 1989, 2086, 2189, 2077, 2033, 2160, 2086, 2023, 1906
10-3-2022 15:07:27, 2013, 2116, 2223, 2116, 2072, 2204, 2135, 2072, 1959
10-3-2022 15:07:47, 1974, 2072, 2174, 2067, 2028, 2165, 2101, 2043, 1945
10-3-2022 15:08:07, 1945, 2047, 2150, 2043, 2003, 2135, 2072, 2013, 1911
10-3-2022 15:08:27, 1959, 2062, 2165, 2052, 2013, 2150, 2086, 2023, 1935
10-3-2022 15:08:46, 1984, 2086, 2194, 2086, 2043, 2184, 2111, 2052, 1950
10-3-2022 15:09:07, 1979, 2086, 2199, 2091, 2047, 2189, 2116, 2052, 1940
10-3-2022 15:09:27, 1959, 2057, 2155, 2043, 1999, 2126, 2052, 1984, 1867
10-3-2022 15:09:47, 1969, 2072, 2174, 2062, 2018, 2150, 2077, 2008, 1896
10-3-2022 15:10:07, 1930, 2028, 2130, 2018, 1979, 2111, 2047, 1989, 1896
10-3-2022 15:10:27, 1974, 2077, 2184, 2072, 2028, 2165, 2091, 2023, 1901
10-3-2022 15:10:47, 1906, 2003, 2111, 2003, 1959, 2091, 2023, 1959, 1857
10-3-2022 15:11:06, 1906, 2013, 2126, 2013, 1974, 2116, 2043, 1989, 1881
10-3-2022 15:11:27, 1974, 2077, 2194, 2086, 2043, 2174, 2106, 2043, 1915
10-3-2022 15:11:47, 1959, 2057, 2170, 2057, 2013, 2145, 2072, 2003, 1881
10-3-2022 15:12:07, 1974, 2086, 2199, 2086, 2043, 2179, 2106, 2043, 1920
10-3-2022 15:12:27, 1915, 2008, 2116, 2003, 1955, 2091, 2018, 1955, 1852
10-3-2022 15:12:47, 1901, 2003, 2111, 1999, 1969, 2101, 2023, 1959, 1852
10-3-2022 15:13:06, 1901, 2003, 2111, 1999, 1955, 2091, 2013, 1950, 1852
10-3-2022 15:13:26, 1955, 2067, 2184, 2077, 2038, 2174, 2106, 2043, 1920
10-3-2022 15:13:47, 2018, 2135, 2238, 2126, 2096, 2233, 2170, 2116, 1994
10-3-2022 15:14:07, 1964, 2062, 2165, 2038, 1994, 2126, 2057, 1994, 1876
10-3-2022 15:14:27, 1915, 2023, 2130, 2003, 1969, 2111, 2038, 1984, 1886
